School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
DR WILLIAM HENDERSON SCHOOL,42.2938872,-71.0623448,Public,DORCHESTER,Suffolk,78%,88%,79%,100%,67%,95%,1.70%
EDWARD EVERETT,42.3136479,-71.0597921,Public,DORCHESTER,Suffolk,*,*,*,*,*,*,*
JOHN P HOLLAND,42.3061086,-71.0737194,Public,DORCHESTER,Suffolk,79%,77%,79%,83%,81%,75%,0%
JOHN WINTHROP,42.3016305,-71.067605,Public,DORCHESTER,Suffolk,24%,24%,18%,60%,43%,24%,0%
JOSEPH LEE SCHOOL,42.2922853,-71.0804479,Public,DORCHESTER,Suffolk,91%,91%,91%,94%,87%,87%,0%
KING K-8,42.292246,-71.061936,Public,DORCHESTER,Suffolk,49%,53%,56%,77%,58%,49%,0%
LEE ACADEMY,42.2922752,-71.0803579,Public,DORCHESTER,Suffolk,79%,81%,82%,92%,84%,74%,1.60%
MATHER SCHOOL,42.3083614,-71.0610281,Public,DORCHESTER,Suffolk,92%,94%,90%,97%,90%,89%,0%
NEIGHBORHOOD HOUSE CHARTER,42.2932146,-71.0533014,Public,DORCHESTER,Suffolk,91%,96%,91%,99%,91%,90%,1.20%
NOTRE DAME MONTESSORI,42.3186357,-71.0448587,Private,DORCHESTER,Suffolk,*,*,*,*,*,*,*
O W HOLMES SCHOOL,42.2966849,-71.0748947,Public,DORCHESTER,Suffolk,26%,34%,26%,44%,26%,26%,1.20%
PAUL DEVER SCHOOL,42.317679,-71.0426997,Public,DORCHESTER,Suffolk,54%,54%,54%,54%,54%,54%,0%
POPE JOHN II COLUMBIA CAMPUS,42.3016305,-71.067605,Private,DORCHESTER,Suffolk,*,*,*,*,*,*,*
POPE JOHN PAUL II /NEPONSET CAMPUS,42.3016305,-71.067605,Private,DORCHESTER,Suffolk,88%,99%,88%,99%,88%,88%,1.10%
POPE JOHN PAUL II ACADEMY (LOWER),42.2743794,-71.0671308,Private,DORCHESTER,Suffolk,100%,100%,97%,100%,97%,100%,2.70%
RICHARD J MURPHY SCHOOL,42.2940401,-71.0490059,Public,DORCHESTER,Suffolk,95%,95%,94%,100%,95%,94%,0%
