School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
JEFFERSON ELEMENTARY,42.1236412,-70.9105507,Public,ROCKLAND,Plymouth,98%,99%,99%,100%,99%,87%,1.00%
ROCKPORT ELEMENTARY,42.6509425,-70.6110728,Public,ROCKPORT,Essex,94%,95%,95%,92%,89%,80%,3.10%
CHARLES SUMNER SCHOOL,42.286471,-71.1269097,Public,ROSLINDALE,Suffolk,78%,81%,80%,84%,77%,79%,0%
DENNIS HALEY,42.2865657,-71.1074571,Public,ROSLINDALE,Suffolk,94%,94%,96%,99%,96%,96%,1.50%
EDWARD BROOKE CHARTER SCHOOL,42.2818841,-71.1218834,Public,ROSLINDALE,Suffolk,100%,100%,100%,100%,100%,100%,0%
GEORGE CONLEY,42.2747761,-71.1271083,Public,ROSLINDALE,Suffolk,*,*,*,*,*,*,*
JOHN PHILBRICK,42.2853995,-71.1177445,Public,ROSLINDALE,Suffolk,84%,87%,87%,97%,87%,87%,0%
MOZART SCHOOL,42.2812654,-71.1410989,Public,ROSLINDALE,Suffolk, , , , , , , 
PHINEAS BATES,42.2777234,-71.1353662,Public,ROSLINDALE,Suffolk,91%,100%,94%,100%,94%,94%,0%
SACRED HEART,42.2784317,-71.1222742,Private,ROSLINDALE,Suffolk,100%,99%,100%,100%,100%,99%,0%
ROWE ELEMENTARY,42.7042499,-72.8895419,Public,ROWE,Franklin, , , , , , , 
PINE GROVE,42.7169949,-70.874446,Public,ROWLEY,Essex,92%,98%,89%,100%,89%,82%,0%
DAVID A ELLIS,42.3162,-71.0931,Public,ROXBURY,Suffolk,34%,38%,36%,53%,36%,32%,0%
DUDLEY ST NEIGHBORHOOD CHARTER SCHOOL,42.32364,-71.073134,Public,ROXBURY,Suffolk,42%,53%,47%,64%,42%,22%,0%
ELLIS MENDELL,42.316592,-71.1016609,Public,ROXBURY,Suffolk,*,*,*,*,*,*,*
HAYNES EARLY EDUCATION CTR,42.3150712,-71.0789179,Public,ROXBURY,Suffolk,*,*,*,*,*,*,*
HIGGINSON SCHOOL,42.3176454,-71.0920076,Public,ROXBURY,Suffolk,88%,88%,89%,95%,89%,79%,0%
HIGGINSON/LEWIS K-8 SCHOOL,42.3151978,-71.0913748,Public,ROXBURY,Suffolk,89%,89%,89%,92%,89%,88%,3.00%
MANVILLE SCHOOL,42.3151978,-71.0913748,Private,ROXBURY,Suffolk, , , , , , , 
MAURICE J TOBIN SCHOOL,42.3329551,-71.0987406,Public,ROXBURY,Suffolk,73%,76%,76%,100%,73%,73%,0%
MISSION GRAMMAR SCHOOL,42.333111,-71.1010832,Private,ROXBURY,Suffolk, , , , , , , 
NATHAN HALE SCHOOL,42.3252277,-71.0911904,Public,ROXBURY,Suffolk,97%,97%,97%,97%,95%,95%,0%
ORCHARD GARDENS SCHOOL,42.3306072,-71.0772682,Public,ROXBURY,Suffolk,*,*,*,*,*,*,*
PAIGE ACADEMY,42.3151978,-71.0913748,Private,ROXBURY,Suffolk,*,*,*,*,*,*,*
RAFAEL HERNANDEZ,42.3139281,-71.0978417,Public,ROXBURY,Suffolk,80%,86%,82%,100%,84%,82%,0%
SAMUEL W MASON SCHOOL,42.3261079,-71.0713203,Public,ROXBURY,Suffolk,84%,88%,94%,84%,81%,81%,0%
ST PATRICK,42.3256509,-71.0747946,Private,ROXBURY,Suffolk, , , , , , , 
ROYALSTON COMMUNITY SCHOOL,42.6776794,-72.1438801,Public,ROYALSTON,Worcester, , , , , , , 
VILLAGE SCHOOL,42.6761689,-72.1874874,Private,ROYALSTON,Worcester, , , , , , , 
NAQUAG ELEMENTARY,42.3739934,-71.9570237,Public,RUTLAND,Worcester,96%,98%,98%,97%,97%,96%,2.10%
BRIDGEVIEW MONTESSORI SCHOOL,41.7804907,-70.535438,Private,SAGAMORE,Barnstable, , , , , , , 
BATES ELEMENTARY,42.5348416,-70.9057349,Public,SALEM,Essex,100%,100%,100%,100%,98%,98%,0%
BENTLEY SCHOOL,42.5281369,-70.881055,Public,SALEM,Essex,91%,94%,94%,94%,94%,89%,0%
CARLTON SCHOOL,42.5317941,-70.8904477,Public,SALEM,Essex,97%,100%,100%,100%,100%,97%,0%
GREENHOUSE SCHOOL,42.4976796,-70.8946661,Private,SALEM,Essex,*,*,*,*,*,*,*
HORACE MANN LABORATORY,42.503751,-70.891739,Public,SALEM,Essex,97%,98%,97%,98%,97%,97%,1.70%
NATHANIEL BOWDITCH SCHOOL,42.5071406,-70.9092164,Public,SALEM,Essex,89%,100%,96%,100%,95%,89%,1.80%
PHOENIX,42.5168539,-70.8962369,Private,SALEM,Essex, , , , , , , 
SALTONSTALL SCHOOL,42.5135347,-70.8915567,Public,SALEM,Essex,82%,95%,90%,97%,90%,77%,0%
WITCHCRAFT HEIGHTS,42.5163525,-70.9201767,Public,SALEM,Essex,99%,99%,100%,100%,100%,99%,0%
SALISBURY ELEMENTARY,42.8545618,-70.86707,Public,SALISBURY,Essex,95%,98%,98%,96%,98%,96%,1.80%
H.T. WING SCHOOL,41.7521789,-70.4960328,Public,SANDWICH,Barnstable,100%,96%,100%,98%,98%,96%,2.10%
OAK RIDGE SCHOOL,41.7195341,-70.4632034,Public,SANDWICH,Barnstable,95%,97%,97%,100%,97%,93%,3.30%
DOUGLAS WAYBRIGHT ELEMENTARY,42.4624651,-71.0139441,Public,SAUGUS,Essex, , , , , , , 
LYNNHURST,42.4762606,-71.0019014,Public,SAUGUS,Essex,100%,100%,100%,100%,100%,100%,0%
OAKLANDVALE ELEMENTARY,42.4651421,-71.0110473,Public,SAUGUS,Essex,87%,90%,87%,93%,87%,87%,0%
SHINING STARS LEARNING CENTER,42.4602972,-71.0076004,Private,SAUGUS,Essex, , , , , , , 
VETERANS MEMORIAL,42.4542629,-71.0039395,Public,SAUGUS,Essex,96%,97%,94%,96%,94%,86%,1.40%
SAVOY ELEMENTARY,42.5690841,-72.9954209,Public,SAVOY,Berkshire, , , , , , , 
CUSHING ELEMENTARY,42.204439,-70.7680382,Public,SCITUATE,Plymouth,98%,98%,98%,98%,98%,98%,2.10%
HATHERLY ELEMENTARY,42.2154457,-70.7636155,Public,SCITUATE,Plymouth,95%,97%,97%,95%,97%,82%,7.90%
INLY SCHOOL,42.1719719,-70.7594315,Private,SCITUATE,Plymouth, , , , , , , 
JENKINS ELEMENTARY,42.1905865,-70.7307969,Public,SCITUATE,Plymouth,100%,100%,98%,98%,97%,97%,1.70%
WAMPATUCK ELEMENTARY,42.2098236,-70.7422636,Public,SCITUATE,Plymouth,98%,98%,98%,98%,98%,90%,2.40%
GEORGE R MARTIN SCHOOL,41.7974428,-71.3163932,Public,SEEKONK,Bristol,98%,100%,100%,100%,100%,98%,0%
MILDRED AITKEN SCHOOL,41.8449355,-71.3345943,Public,SEEKONK,Bristol,100%,100%,100%,100%,100%,100%,0%
COTTAGE ST SCHOOL,42.1188763,-71.1723485,Public,SHARON,Norfolk,100%,97%,100%,97%,100%,94%,3.00%
EAST ELEMENTARY,42.1145913,-71.1481565,Public,SHARON,Norfolk,100%,100%,99%,100%,100%,99%,0%
HEIGHTS ELEMENTARY,42.1206916,-71.1780258,Public,SHARON,Norfolk,99%,100%,99%,100%,99%,96%,2.40%
ISLAMIC ACADEMY OF NEW ENGLAND,42.0965656,-71.1948537,Private,SHARON,Norfolk, , , , , , , 
STRIAR HEBREW ACADEMY,42.1155384,-71.1738078,Private,SHARON,Norfolk, , , , , , , 
MONTEREY,42.1863127,-73.3006316,Public,SHEFFIELD,Berkshire, , , , , , , 
NEW MARLBORO CENTRAL SCHOOL,42.1099885,-73.3551436,Public,SHEFFIELD,Berkshire, , , , , , , 
SOUTH EGREMONT,42.1605679,-73.4154169,Public,SHEFFIELD,Berkshire, , , , , , , 
UNDERMOUNTAIN ELEMENTARY,42.1099885,-73.3551436,Public,SHEFFIELD,Berkshire,65%,76%,74%,91%,65%,50%,2.20%
BUCKLAND SHELBURNE REGIONAL,42.6089935,-72.7344026,Public,SHELBURNE FALLS,Franklin,92%,89%,92%,95%,92%,84%,2.60%
PINE HILL,42.2459301,-71.3614477,Public,SHERBORN,Middlesex,98%,98%,100%,100%,100%,94%,0%
LURA WHITE ELEMENTARY,42.5437035,-71.6495176,Public,SHIRLEY,Middlesex,97%,98%,98%,98%,98%,97%,1.60%
AL-HAMRA ACADEMY,42.2710909,-71.6825876,Private,SHREWSBURY,Worcester, , , , , , , 
BEAL SCHOOL,42.2955565,-71.715725,Public,SHREWSBURY,Worcester,95%,97%,99%,99%,99%,95%,1.30%
CALVIN COOLIDGE SCHOOL,42.2653319,-71.7486654,Public,SHREWSBURY,Worcester,92%,98%,92%,100%,95%,88%,8.30%
LILLIPUT SCHOOL,42.2959267,-71.7128471,Private,SHREWSBURY,Worcester, , , , , , , 
SHREWSBURY CHILDREN'S CTR KINDERGARTEN,42.2959267,-71.7128471,Private,SHREWSBURY,Worcester, , , , , , , 
SHREWSBURY MONTESSORI SCHOOL,42.281729,-71.728709,Private,SHREWSBURY,Worcester, , , , , , , 
SPRING STREET SCHOOL,42.3043786,-71.7020966,Public,SHREWSBURY,Worcester,100%,100%,100%,100%,100%,100%,0%
ST MARY SCHOOL,42.2960822,-71.70997,Private,SHREWSBURY,Worcester, , , , , , , 
WALTER J PATON SCHOOL,42.2926773,-71.7131339,Public,SHREWSBURY,Worcester, , , , , , , 
SHUTESBURY ELEMENTARY,42.44883,-72.428421,Public,SHUTESBURY,Franklin, , , , , , , 
CHACE STREET SCHOOL,41.7695425,-71.1286194,Public,SOMERSET,Bristol,100%,100%,100%,100%,100%,100%,0%
NORTH ELEMENTARY,41.7772744,-71.1466548,Public,SOMERSET,Bristol,97%,98%,97%,97%,97%,97%,3.30%
SOUTH SCHOOL,41.7369398,-71.1656023,Public,SOMERSET,Bristol,96%,98%,96%,98%,98%,94%,1.90%
ARGENZIANO SCHOOL @ LINCOLN,42.378866,-71.0987821,Public,SOMERVILLE,Middlesex,98%,98%,98%,98%,98%,98%,2.20%
ARTHUR D HEALEY SCHOOL,42.3975844,-71.0953226,Public,SOMERVILLE,Middlesex,95%,100%,100%,100%,98%,93%,0%
BENJAMIN BROWN SCHOOL,42.3973754,-71.1141076,Public,SOMERVILLE,Middlesex,100%,100%,98%,100%,98%,98%,2.50%
BRIGHT HORIZONS TEELE SQUARE,42.4011175,-71.1285122,Private,SOMERVILLE,Middlesex, , , , , , , 
CAPUANO EARLY CHILDHOOD CTR,42.3875968,-71.0994968,Public,SOMERVILLE,Middlesex,100%,100%,99%,100%,100%,99%,0%
EAST SOMERVILLE COMMUNITY SCHOOL,42.38595,-71.0865761,Public,SOMERVILLE,Middlesex,99%,99%,100%,100%,100%,99%,0%
JOHN F KENNEDY ELEMENTARY,42.3892128,-71.1156848,Public,SOMERVILLE,Middlesex,95%,98%,100%,93%,84%,68%,0%
PROSPECT HILL ACADEMY CHARTER,42.3788,-71.0965,Public,Somerville,Middlesex,*,*,*,*,*,*,*
ST CATHERINE OF GENOA,42.3870318,-71.1086953,Private,SOMERVILLE,Middlesex,95%,95%,95%,100%,95%,95%,0%
WEST SOMERVILLE NEIGHBORHOOD SCHOOL,42.4062364,-71.126566,Public,SOMERVILLE,Middlesex,100%,100%,100%,100%,100%,100%,0%
WINTER HILL COMMUNITY,42.3917106,-71.0987482,Public,SOMERVILLE,Middlesex,100%,100%,100%,100%,100%,100%,0%
DAY SPRING CHRISTIAN ACADEMY,41.9059513,-71.3558594,Private,SOUTH ATTLEBORO,Bristol, , , , , , , 
HILL-ROBERTS ELEMENTARY,41.9174999,-71.3498,Public,SOUTH ATTLEBORO,Bristol,100%,100%,100%,100%,100%,100%,0%
JAMES CONDON,42.3380213,-71.0519753,Public,SOUTH BOSTON,Suffolk,65%,66%,66%,92%,82%,62%,0%
JOSEPH TYNAN,42.3346042,-71.0389815,Public,SOUTH BOSTON,Suffolk,51%,51%,51%,94%,51%,51%,0%
OLIVER H PERRY,42.3320424,-71.03005,Public,SOUTH BOSTON,Suffolk,49%,49%,49%,67%,49%,49%,27.90%
PERKINS ELEMENTARY SCHOOL,42.3381437,-71.0475773,Public,SOUTH BOSTON,Suffolk,*,*,*,*,*,*,*
SOUTH BOSTON CATHOLIC ACADEMY,42.3360191,-71.0296446,Private,SOUTH BOSTON,Suffolk,88%,85%,82%,97%,88%,75%,1.40%
ST PETER ACADEMY,42.3365863,-71.0499469,Private,SOUTH BOSTON,Suffolk,84%,90%,90%,97%,90%,90%,3.20%
DARTMOUTH EARLY LEARNING CTR,41.581074,-70.970532,Private,SOUTH DARTMOUTH,Bristol, , , , , , , 
DEERFIELD ELEMENTARY,42.480992,-72.60839,Public,SOUTH DEERFIELD,Franklin,94%,92%,94%,94%,94%,92%,6.10%
CENTER SCHOOL,42.0345094,-71.0993406,Public,SOUTH EASTON,Bristol,100%,100%,100%,100%,100%,100%,0%
SOUTH GRAFTON ELEMENTARY,42.1792207,-71.6956419,Public,SOUTH GRAFTON,Worcester,98%,99%,99%,97%,99%,96%,0.80%
PLAINS ELEMENTARY,42.2261307,-72.5733514,Public,SOUTH HADLEY,Hampshire,96%,98%,97%,98%,98%,96%,1.40%
CUTLER SCHOOL,42.6209274,-70.8772723,Public,SOUTH HAMILTON,Essex,98%,98%,98%,98%,100%,95%,0%
BROWNING ELEMENTARY @ SOUTH LANCASTER,42.4463,-71.6871,Private,SOUTH LANCASTER,Worcester, , , , , , , 
FIRST BAPTIST CHRISTIAN SCHOOL,42.1880487,-70.958573,Private,SOUTH WEYMOUTH,Norfolk, , , , , , , 
RALPH TALBOT SCHOOL,42.1763003,-70.9353245,Public,SOUTH WEYMOUTH,Norfolk,97%,97%,97%,97%,97%,97%,3.20%
ST FRANCIS XAVIER,42.1779321,-70.9478168,Private,SOUTH WEYMOUTH,Norfolk,100%,100%,100%,100%,100%,100%,0%
THOMAS W HAMILTON SCHOOL,42.165925,-70.9356684,Public,SOUTH WEYMOUTH,Norfolk,99%,99%,100%,100%,100%,99%,0%
ST PIUS X SCHOOL,41.672643,-70.186093,Private,SOUTH YARMOUTH,Barnstable, , , , , , , 
STATION AVENUE ELEMENTARY,41.6802275,-70.1975204,Public,SOUTH YARMOUTH,Barnstable,98%,99%,98%,98%,98%,96%,1.00%
WILLIAM E NORRIS,42.241707,-72.724285,Public,SOUTHAMPTON,Hampshire,93%,95%,97%,95%,95%,92%,5.00%
MARY E FINN SCHOOL,42.2746413,-71.5339825,Public,SOUTHBORO,Worcester,100%,100%,100%,98%,100%,98%,1.70%
NEW ENGLAND CTR FOR CHILDREN SCHOOL,42.4072107,-71.3824374,Private,SOUTHBORO,Worcester, , , , , , , 
EASTFORD ROAD,42.0674829,-72.0393503,Public,SOUTHBRIDGE,Worcester,99%,100%,100%,100%,99%,99%,0.60%
MONTESSORI CHILDRENS HOUSE,42.0881002,-72.0237986,Private,SOUTHBRIDGE,Worcester,*,*,*,*,*,*,*
SOUTHBRIDGE CHRISTIAN ACADEMY,42.0903729,-72.0009077,Private,SOUTHBRIDGE,Worcester, , , , , , , 
TRINITY CATHOLIC ACADEMY,42.0809936,-72.0372699,Private,SOUTHBRIDGE,Worcester,*,*,*,*,*,*,*
WOODLAND ELEMENTARY,42.0600111,-72.7512931,Public,SOUTHWICK,Hampden,98%,97%,98%,97%,98%,96%,3.20%
LAKE STREET,42.250254,-71.986883,Public,SPENCER,Worcester,100%,100%,100%,100%,99%,99%,0%
ALFRED G ZANETTI,42.120986,-72.587807,Public,SPRINGFIELD,Hampden,98%,98%,98%,100%,98%,98%,2.30%
ALICE BEAL ELEMENTARY,42.07395,-72.544371,Public,SPRINGFIELD,Hampden,100%,98%,98%,100%,98%,98%,0%
ARTHUR T TALMADGE SCHOOL,42.0957839,-72.5142865,Public,SPRINGFIELD,Hampden,98%,100%,100%,98%,100%,98%,0%
BRIGHTWOOD SCHOOL,42.1198957,-72.6149868,Public,SPRINGFIELD,Hampden,98%,98%,98%,98%,98%,98%,2.10%
DANIEL B BRUNTON SCHOOL,42.0969849,-72.491852,Public,SPRINGFIELD,Hampden,*,*,*,*,*,*,*
DRYDEN MEMORIAL SCHOOL,42.0991531,-72.5436861,Public,SPRINGFIELD,Hampden,88%,94%,90%,100%,90%,88%,0%
EDWARD P BOLAND ELEMENTARY,42.1200234,-72.5870261,Public,SPRINGFIELD,Hampden,86%,92%,94%,96%,92%,86%,0%
ELIAS BROOKINGS SCHOOL,42.0986549,-72.5651681,Public,SPRINGFIELD,Hampden,90%,90%,90%,98%,90%,80%,0%
FRANK H FREEDMAN SCHOOL,42.1092611,-72.5250869,Public,SPRINGFIELD,Hampden,100%,100%,100%,100%,100%,100%,0%
FREDRICK HARRIS SCHOOL,42.0928088,-72.5353904,Public,SPRINGFIELD,Hampden,100%,100%,100%,100%,100%,100%,0%
GERENA SCHOOL,42.1187681,-72.6106275,Public,SPRINGFIELD,Hampden,95%,99%,100%,100%,100%,95%,0%
GLENWOOD SCHOOL,42.1322658,-72.5905643,Public,SPRINGFIELD,Hampden,84%,89%,98%,96%,56%,89%,2.20%
GLICKMAN ELEMENTARY,42.1142131,-72.5112906,Public,SPRINGFIELD,Hampden,98%,100%,100%,100%,100%,98%,0%
HIRAM L DORMAN SCHOOL,42.1281495,-72.5395318,Public,SPRINGFIELD,Hampden,100%,100%,100%,100%,100%,100%,0%
HOMER STREET SCHOOL,42.1130168,-72.5554833,Public,SPRINGFIELD,Hampden,95%,96%,96%,96%,96%,95%,0%
KENSINGTON AVENUE SCHOOL,42.091118,-72.5615852,Public,SPRINGFIELD,Hampden,91%,93%,97%,94%,94%,90%,2.90%
LIBERTY SCHOOL,42.1292604,-72.5792552,Public,SPRINGFIELD,Hampden,92%,98%,98%,86%,100%,96%,0%
LINCOLN ELEMENTARY,42.1198317,-72.6055735,Public,SPRINGFIELD,Hampden,100%,100%,100%,100%,100%,100%,0%
MAKE WAY FOR DUCKLINGS,42.1041817,-72.5461046,Private,SPRINGFIELD,Hampden, , , , , , , 
MARGARET C ELLS SCHOOL,42.1239828,-72.5556433,Public,SPRINGFIELD,Hampden,*,*,*,*,*,*,*
MARTIN LUTHER KING CHARTER SCHOOL,42.0839523,-72.5362183,Public,SPRINGFIELD,Hampden,87%,88%,92%,97%,90%,78%,0%
MARY M LYNCH SCHOOL,42.1291011,-72.5105041,Public,SPRINGFIELD,Hampden,100%,100%,100%,100%,98%,98%,0%
MARY M WALSH SCHOOL,42.11565,-72.4939748,Public,SPRINGFIELD,Hampden,96%,94%,94%,98%,94%,91%,0%
MARY O POTTENGER SCHOOL,42.13816,-72.5681293,Public,SPRINGFIELD,Hampden,99%,99%,99%,99%,99%,99%,0%
MILTON BRADLEY SCHOOL,42.1014143,-72.5803428,Public,SPRINGFIELD,Hampden,90%,94%,97%,84%,96%,94%,0%
PIONEER VALLEY CHRISTIAN SCHOOL,42.103479,-72.516244,Private,SPRINGFIELD,Hampden, , , , , , , 
PIONEER VALLEY MONTESSORI,42.1055934,-72.4975156,Private,SPRINGFIELD,Hampden, , , , , , , 
REBECCA JOHNSON SCHOOL,42.1130595,-72.5646222,Public,SPRINGFIELD,Hampden,82%,90%,87%,96%,86%,82%,2.40%
SABIS CHARTER SCHOOL,42.1259342,-72.4848011,Public,SPRINGFIELD,Hampden,94%,97%,94%,100%,98%,94%,0%
SAMUEL BOWLES SCHOOL,42.1439824,-72.5620325,Public,SPRINGFIELD,Hampden,99%,99%,100%,100%,100%,99%,0%
SPRINGFIELD PUBLIC DAY ELEMENTARY,42.1023165,-72.562588,Public,SPRINGFIELD,Hampden, , , , , , , 
ST MICHAELS ELEMENTARY,42.1043282,-72.5845656,Private,SPRINGFIELD,Hampden,74%,87%,80%,89%,80%,74%,0%
SUMNER AVE ELEMENTARY,42.0822488,-72.5746537,Public,SPRINGFIELD,Hampden,91%,96%,96%,97%,96%,90%,0%
THOMAS M BALLIET SCHOOL,42.1289854,-72.5274701,Public,SPRINGFIELD,Hampden,95%,95%,100%,100%,100%,95%,0%
TRINITY NURSERY SCHOOL & KIND,42.1014831,-72.589811,Private,SPRINGFIELD,Hampden, , , , , , , 
WARNER SCHOOL,42.1404712,-72.4952417,Public,SPRINGFIELD,Hampden,98%,100%,98%,98%,98%,98%,0%
WASHINGTON SCHOOL,42.0827147,-72.5496001,Public,SPRINGFIELD,Hampden,92%,94%,93%,97%,93%,92%,3.40%
WHITE STREET SCHOOL,42.090079,-72.5536699,Public,SPRINGFIELD,Hampden,97%,99%,99%,100%,97%,96%,0%
WILLIAM N DEBERRY SCHOOL,42.1091845,-72.5662792,Public,SPRINGFIELD,Hampden,100%,100%,100%,100%,100%,100%,0%
HOUGHTON SCHOOL,42.4134605,-71.7774987,Public,STERLING,Worcester,98%,100%,98%,98%,98%,98%,0%
CENTRAL SCHOOL,42.4848886,-71.0963194,Public,STONEHAM,Middlesex,*,*,*,*,*,*,*
COLONIAL PARK,42.4684321,-71.0858725,Public,STONEHAM,Middlesex,89%,98%,96%,100%,93%,89%,0%
EDGEWOOD SCHOOL,42.4802469,-71.0999719,Private,STONEHAM,Middlesex, , , , , , , 
ROBIN HOOD SCHOOL,42.4934405,-71.107586,Public,STONEHAM,Middlesex,91%,91%,91%,96%,91%,91%,1.90%
SOUTH SCHOOL,42.4734462,-71.1000891,Public,STONEHAM,Middlesex,87%,98%,95%,98%,93%,87%,0%
ST PATRICK,42.4824244,-71.0983039,Private,STONEHAM,Middlesex,100%,100%,100%,100%,100%,100%,0%
HELEN HANSEN SCHOOL,42.130922,-71.130306,Public,STOUGHTON,Norfolk,98%,98%,98%,100%,98%,98%,2.20%
JOSEPH H GIBBONS ELEMENTARY,42.1229099,-71.1092012,Public,STOUGHTON,Norfolk,100%,100%,100%,100%,100%,100%,0%
JOSEPH R DAWE ELEMENTARY,42.1394971,-71.0913366,Public,STOUGHTON,Norfolk,97%,98%,97%,98%,97%,97%,3.20%
SOUTH ELEMENTARY,42.111372,-71.0832271,Public,STOUGHTON,Norfolk,100%,98%,100%,100%,100%,95%,0%
WEST ELEMENTARY,42.1325143,-71.112789,Public,STOUGHTON,Norfolk,100%,100%,100%,100%,100%,100%,0%
STEPPINGSTONES SCHOOL,42.4345978,-71.5054984,Private,STOW,Middlesex, , , , , , , 
THE CENTER SCHOOL,42.4377236,-71.5081795,Public,STOW,Middlesex,95%,98%,98%,98%,98%,95%,1.90%
BURGESS ELEMENTARY,42.1139835,-72.095354,Public,STURBRIDGE,Worcester,97%,97%,97%,97%,97%,95%,2.70%
GENERAL JOHN NIXON SCHOOL,42.3915211,-71.4028291,Public,SUDBURY,Middlesex,100%,100%,100%,100%,100%,100%,0%
ISRAEL LORING SCHOOL,42.3497377,-71.4075805,Public,SUDBURY,Middlesex,96%,98%,100%,98%,98%,63%,1.90%
JOSIAH HAYNES SCHOOL,42.4150941,-71.414228,Public,SUDBURY,Middlesex,86%,90%,85%,93%,83%,76%,1.70%
PETER NOYES,42.3825881,-71.409105,Public,SUDBURY,Middlesex,98%,97%,99%,99%,99%,95%,1.20%
SUNDERLAND ELMENTARY,42.4588271,-72.575197,Public,SUNDERLAND,Franklin, , , , , , , 
SUTTON ELEMENTARY,42.1431997,-71.7726375,Public,SUTTON,Worcester,100%,100%,100%,100%,100%,100%,0%
CLARKE SCHOOL,42.4748122,-70.9170234,Public,SWAMPSCOTT,Essex,100%,100%,100%,100%,100%,100%,0%
HADLEY ELEMENTARY,42.4686165,-70.9159401,Public,SWAMPSCOTT,Essex,98%,100%,100%,98%,98%,93%,0%
STANLEY SCHOOL,42.4722302,-70.8975237,Public,SWAMPSCOTT,Essex,98%,100%,100%,100%,100%,98%,0%
GARDNER ELEMENTARY,41.7237815,-71.2011779,Public,SWANSEA,Bristol,96%,100%,100%,100%,100%,96%,0%
M.G. HOYLE ELEMENTARY,41.7652656,-71.2408644,Public,SWANSEA,Bristol,96%,99%,99%,100%,99%,96%,2.70%
EDMUND HATCH BENNETT,41.9030524,-71.1382193,Public,TAUNTON,Bristol,100%,100%,100%,100%,100%,100%,0%
ELIZABETH POLE SCHOOL,41.9021198,-71.0655442,Public,TAUNTON,Bristol,96%,97%,97%,98%,98%,96%,2.60%
H H GALLIGAN SCHOOL,41.9007999,-71.1079,Public,TAUNTON,Bristol,94%,100%,100%,100%,100%,94%,0%
HOPEWELL,41.9199396,-71.0939069,Public,TAUNTON,Bristol,91%,94%,94%,100%,95%,91%,6.10%
JOSEPH C CHAMBERLAIN,41.9182442,-71.1362585,Public,TAUNTON,Bristol,100%,100%,100%,100%,100%,100%,0%
MULCAHEY ELEMENTARY SCHOOL,41.900101,-71.0897674,Public,TAUNTON,Bristol,100%,100%,100%,100%,100%,100%,0%
OUR LADY OF LOURDES,41.8885296,-71.0944672,Private,TAUNTON,Bristol, , , , , , , 
ST MARYS SCHOOL,41.9065464,-71.093704,Private,TAUNTON,Bristol, , , , , , , 
TEMPLETON CENTER ELEMENTARY,42.555644,-72.067579,Public,TEMPLETON,Worcester,96%,99%,100%,100%,100%,95%,0%
HEATH BROOK,42.5834262,-71.2181129,Public,TEWKSBURY,Middlesex,99%,100%,99%,99%,99%,98%,1.90%
L F DEWING,42.6417303,-71.2470996,Public,TEWKSBURY,Middlesex,99%,100%,100%,99%,100%,98%,1.50%
STEWARD ELEMENTARY,42.6475019,-70.9223377,Public,TOPSFIELD,Essex,97%,99%,99%,97%,96%,94%,2.50%
SPAULDING MEMORIAL SCHOOL,42.670368,-71.713762,Public,TOWNSEND,Middlesex,98%,98%,97%,98%,98%,98%,3.20%
TRURO CENTRAL SCHOOL,42.0180529,-70.0710032,Public,TRURO,Barnstable, , , , , , , 
HILLCREST ELEMENTARY,42.6042523,-72.5564777,Public,TURNERS FALLS,Franklin,98%,98%,98%,98%,98%,98%,1.90%
ACADEMY OF NOTRE DAME,42.6704999,-71.4263,Private,TYNGSBORO,Middlesex,94%,100%,100%,100%,100%,94%,0%
TYNGSBORO ELEMENTARY SCHOOL,42.6542771,-71.4452838,Public,TYNGSBORO,Middlesex,92%,99%,95%,98%,95%,87%,1.90%
MEMORIAL SCHOOL,42.1704634,-71.6134313,Public,UPTON,Worcester,95%,97%,94%,98%,92%,91%,3.00%
OUR LADY OF THE VALLEY,42.0777648,-71.624861,Private,UXBRIDGE,Worcester, , , , , , , 
TAFT EARLY LEARNING CENTER,42.0772429,-71.6302532,Public,UXBRIDGE,Worcester,91%,91%,89%,99%,89%,87%,0.70%
TISBURY ELEMENTARY,41.452647,-70.609781,Public,VINEYARD HAVEN,Dukes,95%,97%,97%,95%,92%,81%,10.80%
VINEYARD MONTESSORI,41.4621,-70.603199,Private,VINEYARD HAVEN,Dukes, , , , , , , 
ANGIER SCHOOL,42.3265807,-71.232528,Public,WABAN,Middlesex,97%,98%,100%,100%,100%,97%,0%
ZERVAS SCHOOL,42.3270215,-71.2309935,Public,WABAN,Middlesex,98%,100%,100%,100%,100%,100%,0%
DOLBEARE SCHOOL,42.5185026,-71.0655723,Public,WAKEFIELD,Middlesex,99%,98%,99%,99%,99%,98%,1.20%
DOYLE EARLY CHILDHOOD CENTER,42.5039395,-71.0723391,Public,WAKEFIELD,Middlesex,94%,97%,94%,94%,94%,94%,6.20%
GREENWOOD SCHOOL,42.4809288,-71.064219,Public,WAKEFIELD,Middlesex,100%,100%,100%,100%,100%,100%,0%
ODYSSEY DAY SCHOOL,42.5144475,-71.0421293,Private,WAKEFIELD,Middlesex, , , , , , , 
ST JOSEPH SCHOOL,42.5008318,-71.0783417,Private,WAKEFIELD,Middlesex,100%,100%,100%,100%,100%,100%,0%
WOODVILLE SCHOOL,42.4979315,-71.0505957,Public,WAKEFIELD,Middlesex,95%,99%,96%,97%,95%,93%,1.40%
